electionyear;ideology;spec_eu;policy;party_char;nationalism
2023;1,05;3,79;1,34;4,21;0,5
2023;3,57;6,08;2,89;2,87;2,75
2023;3,45;4,17;3,33;3,67;2,5
2023;7,89;1,75;8,19;7,08;7,67
2023;7,39;4,21;8,09;5,11;8,5
2024;5,52;5,07;5,72;1,74;5,8
2024;3,63;4,78;3,11;2,69;3,4
2024;4,58;5,52;2,83;2,32;1,4
2024;3,36;4,2;3,1;2,07;2,6
2024;6,92;2,25;8,17;6,91;8,8
2024;2,31;4,55;1,3;4,03;0,2
2024;5,55;5,42;3,03;3,02;1,8
2024;7,62;2;9,01;5,89;9,8
2023;7,43;NA;6,88;5,08;8,43
2023;3,5;NA;4,83;5,16;4,43
2023;7,57;NA;8,26;4,69;10
2023;5,79;NA;7,32;5,08;6,86
2023;2,33;NA;2,27;6,74;1
2023;7,65;NA;8,49;5,86;8,57
2023;0,64;NA;2,77;6,92;0,86
2021;3,69;NA;3,35;2,72;4,71
2021;7,73;NA;6,73;7,86;8,71
2021;6,73;NA;3,83;2,44;4,29
2021;1,88;NA;1,39;3,17;1,57
2021;4,81;NA;4,96;5,44;8,14
2021;5,58;NA;5,25;3;6,43
2021;6;NA;1,94;1,92;1,43
2021;4,08;NA;1,78;2,39;1,71
2021;0,54;NA;1,53;4,44;3
2023;8,67;NA;8,78;8,71;9,29
2023;1,63;NA;1,08;4,19;1,43
2023;7,9;NA;5,7;5;5,71
2023;5,33;NA;5,67;4,64;5,71
2023;1,3;NA;0,68;4,1;1
2023;5,43;NA;2,36;3,71;1,14
2023;5,36;NA;6,71;3,84;6,6
2023;7,99;NA;8,87;5,07;9
2023;7,77;NA;8,74;7,79;9
2023;7,04;NA;8,38;7,18;8,5
2022;6;4,5;4,75;4,5;7
2022;5,33;6;5,92;4,5;7
2021;7,6;6,25;5,47;3,14;7
2021;2,1;3,5;2,38;3,42;3
2021;5,5;5,5;5,75;3,31;6,5
2021;4,9;6;6,73;3,33;7,5
2021;4,2;5;3,57;3,25;5
2021;7;2,5;8,98;8,17;9,5
2021;5,1;5,5;5,96;3,14;6,5
2021;7,42;NA;4;0,94;7,5
